eu_sdg,dimension,dimension_label,unit,unit_label,geo,geo_label,time,obs_value,obs_status
11_52,PMD,Premature death -Premature death,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2005,431114,
11_52,PMD,Premature death -Premature death,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2006,,
11_52,PMD,Premature death -Premature death,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2007,349416,
11_52,PMD,Premature death -Premature death,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2008,354207,
11_52,PMD,Premature death -Premature death,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2009,362841,
11_52,PMD,Premature death -Premature death,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2010,367732,
11_52,PMD,Premature death -Premature death,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2011,392315,
11_52,PMD,Premature death -Premature death,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2012,344027,
11_52,PMD,Premature death -Premature death,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2013,328912,
11_52,PMD,Premature death -Premature death,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2014,290933,
11_52,PMD,Premature death -Premature death,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2015,321094,
11_52,PMD,Premature death -Premature death,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2016,281995,
11_52,PMD,Premature death -Premature death,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2017,303487,
11_52,PMD,Premature death -Premature death,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2018,290716,
11_52,PMD,Premature death -Premature death,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2019,231286,
11_52,PMD,Premature death -Premature death,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2020,237715,
11_52,PMD,Premature death -Premature death,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2021,253305,
11_52,PMD,Premature death -Premature death,NR,Number,BE,Belgium,2005,9324,
11_52,PMD,Premature death -Premature death,NR,Number,BE,Belgium,2006,,
11_52,PMD,Premature death -Premature death,NR,Number,BE,Belgium,2007,7192,
11_52,PMD,Premature death -Premature death,NR,Number,BE,Belgium,2008,8633,
11_52,PMD,Premature death -Premature death,NR,Number,BE,Belgium,2009,9497,
11_52,PMD,Premature death -Premature death,NR,Number,BE,Belgium,2010,9832,
11_52,PMD,Premature death -Premature death,NR,Number,BE,Belgium,2011,9063,
11_52,PMD,Premature death -Premature death,NR,Number,BE,Belgium,2012,8136,
11_52,PMD,Premature death -Premature death,NR,Number,BE,Belgium,2013,8691,
